Zip,Latitude,Longitude
1001,42.07061,-72.62029
1002,42.377651,-72.50323
1003,42.369562,-72.63599
1004,42.384494,-72.513183
1005,42.412094,-72.10443
1007,42.278424,-72.411
1008,42.174313,-72.94828
1009,42.206092,-72.340486
1010,42.126038,-72.20552
1011,42.271442,-73.01958
1012,42.390836,-72.84356
1013,42.161492,-72.60316
1014,42.170731,-72.604842
1020,42.175992,-72.57265
1021,42.170731,-72.604842
1022,42.196666,-72.55606
1026,42.465041,-72.91813
1027,42.27279,-72.68677
1028,42.066795,-72.5102
1029,42.175896,-73.04204
1030,42.070774,-72.67248
1031,42.33071,-72.18833
1032,42.45792,-72.81551
1033,42.254563,-72.51831
1034,42.086224,-72.94464
1035,42.35549,-72.5733
1036,42.064703,-72.41735
1037,42.374202,-72.19524
1038,42.375155,-72.60832
1039,42.381475,-72.69259
1040,42.201891,-72.6242
1041,42.170731,-72.604842
1050,42.290209,-72.87942
1053,42.353105,-72.70206
1054,42.479839,-72.49879
1056,42.174893,-72.47068
1057,42.089269,-72.317
1059,42.369562,-72.63599
1060,42.324539,-72.63561
1061,42.369562,-72.63599
1062,42.324232,-72.67915
1063,42.317939,-72.640234
1066,42.406697,-72.633901
1068,42.349769,-72.04413
1069,42.176401,-72.32646
1070,42.515853,-72.91661
1071,42.165931,-72.85153
1072,42.486027,-72.42208
1073,42.223885,-72.72777
1074,42.375998,-72.149388
1075,42.234891,-72.58243
1077,42.05283,-72.76966
1079,42.192892,-72.329574
1080,42.180563,-72.36518
1081,42.058024,-72.22517
1082,42.270611,-72.26067
1083,42.20468,-72.20259
1084,42.379807,-72.89043
1085,42.133642,-72.75029
1086,42.173428,-72.847964
1088,42.388831,-72.6321
1089,42.112793,-72.64066
1090,42.170731,-72.604842
1092,42.210777,-72.23904
1093,42.442673,-72.652511
1094,42.358201,-72.140846
1095,42.12531,-72.44057
1096,42.415236,-72.78271
1097,42.161743,-72.845912
1098,42.399054,-72.93871
1101,42.170731,-72.604842
1102,42.170731,-72.604842
1103,42.103294,-72.59112
1104,42.130343,-72.57338
1105,42.096644,-72.5798
1106,42.050395,-72.5712
1107,42.120193,-72.6061
1108,42.084094,-72.55523
1109,42.116277,-72.55031
1111,42.170731,-72.604842
1114,42.170731,-72.604842
1115,42.102894,-72.591633
1116,42.170731,-72.604842
1118,42.093144,-72.5291
1119,42.128442,-72.50932
1128,42.095344,-72.48857
1129,42.121031,-72.4896
1133,42.170731,-72.604842
1138,42.170731,-72.604842
1139,42.170731,-72.604842
1144,42.101796,-72.59151
1151,42.153926,-72.50531
1152,42.170731,-72.604842
1199,42.119943,-72.604983
1201,42.45384,-73.254
1202,42.3929,-73.228483
1203,42.3929,-73.228483
1220,42.619727,-73.11842
1222,42.057496,-73.32177
1223,42.314449,-73.09335
1224,42.3929,-73.228483
1225,42.551731,-73.1653
1226,42.476575,-73.11547
1227,42.516145,-73.092852
1229,42.279292,-73.343545
1230,42.189715,-73.35249
1231,42.153001,-73.298131
1235,42.433661,-73.09278
1236,42.266874,-73.36236
1237,42.557346,-73.24364
